Timestamp,AF3,T7,Pz,T8,AF4,Attention,Engagement,Excitement,Interest,Relaxation,Stress,Battery,ContactQuality,SlideIndex,SetIndex
04/09/2025 16:28:28,4198.462,4105.128,3992.308,3964.103,4192.821,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4200,4140.513,3989.231,3916.923,4182.564,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4221.026,4150.769,4003.077,3990.769,4185.128,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4212.821,4098.462,3991.282,4031.795,4174.872,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4205.641,4082.051,3967.692,3958.462,4165.128,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4216.41,4117.436,3975.385,3901.026,4172.308,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4216.41,4123.59,3991.282,3952.308,4167.692,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4214.359,4095.385,3985.641,4038.462,4161.026,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4236.923,4095.897,3984.103,4017.949,4183.077,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4254.872,4120.513,4001.026,3935.385,4203.59,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4250.769,4121.026,4010.769,3966.667,4193.846,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4246.667,4093.846,4005.641,4036.923,4184.103,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4236.923,4065.641,3997.436,4010.769,4184.103,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4245.128,4085.128,4007.692,3976.41,4195.385,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4260.513,4118.974,4020,4011.282,4206.667,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4244.615,4109.231,4014.359,4041.538,4190.256,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
04/09/2025 16:28:28,4238.462,4100,4009.744,4010.769,4176.923,0.564025,0.653417,0.340221,0.513474,0.620166,0.588743,91,100,1,0
